#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2024 02 10 10 26  2.3  1.4 12.5  1.8  9.9   N   N    AVERAGE  7.6   8
2024 02 10 09 56  2.3  1.6 11.1  1.8  9.9   N   N    AVERAGE  8.0  11
2024 02 10 09 26  2.6  1.9 11.8  1.8  9.9   N   N      SWELL  8.5   5
2024 02 10 08 56  2.4  1.5 12.5  1.9  9.9 NNE   N    AVERAGE  7.9  12
2024 02 10 08 26  2.4  1.6 11.1  1.8  9.9   N   N    AVERAGE  7.9   5
2024 02 10 07 56  2.5  1.8 11.8  1.8  9.9   N   N      SWELL  7.9   4
2024 02 10 07 26  2.5  1.9 11.8  1.7  9.9   N   N      SWELL  8.1   2
2024 02 10 06 56  2.3  1.4 11.8  1.8  8.3   N   N    AVERAGE  7.2   4
2024 02 10 06 26  2.4  1.6 10.5  1.8  9.9   N   N    AVERAGE  7.6   5
2024 02 10 05 56  2.2  1.4 11.1  1.7  9.1   N   N    AVERAGE  7.2  10
2024 02 10 05 26  2.3  1.6 11.8  1.7  9.9   N   N    AVERAGE  7.5  11
2024 02 10 04 56  2.3  1.4 11.8  1.9  9.9   N NNW    AVERAGE  7.4 351
2024 02 10 04 26  2.4  1.6 10.5  1.8  9.9   N   N    AVERAGE  7.6 357
2024 02 10 03 56  2.4  1.7 11.8  1.7  9.9   N   N      SWELL  7.5 351
2024 02 10 03 26  2.5  1.6 11.1  1.9  9.1   N   N    AVERAGE  7.5 357
2024 02 10 02 56  2.4  1.7 11.1  1.8  9.9   N   N    AVERAGE  7.5 351
2024 02 10 02 26  2.3  1.5 11.1  1.8  9.9   N   N    AVERAGE  7.3 357
2024 02 10 01 56  2.5  1.8 12.5  1.9  9.9   N   N    AVERAGE  7.7 350
2024 02 10 01 26  2.4  1.7 11.1  1.7  9.9   N   N      SWELL  7.8 360
2024 02 10 00 56  2.2  1.4 11.8  1.8  9.9   N   N    AVERAGE  7.2 355
2024 02 10 00 26  2.2  1.3 11.8  1.9  9.9   N   N    AVERAGE  7.2 360
